name	alternative_names	osm_type	osm_id	class	type	lon	lat	place_rank	importance	street	city	county	state	country	country_code	display_name	west	south	east	north	wikidata	wikipedia
Khanty-Mansiysk	Ханты-Мансийск,Khanty-Mansiïsk,Chanty-Mansijsk,Janti-Mansisk	node	191736223	place	city	69.01915722806179	61.003460158569624	16	0.5516517139632022		Khanty-Mansiysk		Khanty-Mansiysk Autonomous Okrug – Ugra	Russia	ru	Khanty-Mansiysk, Khanty-Mansiysk, Khanty-Mansiysk Autonomous Okrug – Ugra, Ural Federal District	69.01915722806179	61.003460158569624	69.01915722806179	61.003460158569624		ru:Ханты-Мансийск
Vologda	Вологда,Wologda,Vólogda	relation	1327509	place	city	39.872572938151954	59.22640171882164	16	0.5515248745269424		Vologda	городской округ Вологда	Vologda Oblast	Russia	ru	Vologda, городской округ Вологда, Vologda Oblast, Northwestern Federal District	39.73325474708574	59.16724836501228	40.02366656965202	59.28563562272049		ru:Вологда
Vologda	Вологда,Wologda,Vólogda	node	26951330	place	city	39.893276175142255	59.21887644615245	16	0.5515248745269424		Vologda	городской округ Вологда	Vologda Oblast	Russia	ru	Vologda, Vologda, городской округ Вологда, Vologda Oblast, Northwestern Federal District	39.893276175142255	59.21887644615245	39.893276175142255	59.21887644615245		ru:Вологда
Izhevsk	Ижевск,Ischewsk	relation	1670935	place	city	53.19750060476434	56.859733932582216	16	0.5502985582516702		Izhevsk		Udmurtia	Russia	ru	Izhevsk, Udmurtia, Volga Federal District	53.00655799820149	56.716406363890734	53.39137963861972	57.00468809340352		ru:Ижевск
Izhevsk	Ijevsk,Ижевск,Ischewsk	node	1679639726	place	city	53.20941656734979	56.86655692749401	16	0.5502985582516702		Izhevsk		Udmurtia	Russia	ru	Izhevsk, Izhevsk, Udmurtia, Volga Federal District	53.20941656734979	56.86655692749401	53.20941656734979	56.86655692749401		ru:Ижевск
Petrozavodsk	Petrosawodsk,Петрозаводск	node	26903504	place	city	34.39000839762451	61.79003723074949	16	0.550002362639521		Petrozavodsk	Петрозаводский городской округ	Republic of Karelia	Russia	ru	Petrozavodsk, Petrozavodsk, Петрозаводский городской округ, Republic of Karelia, Northwestern Federal District	34.39000839762451	61.79003723074949	34.39000839762451	61.79003723074949		ru:Петрозаводск
Vladikavkaz	Wladikawkas,弗拉季高加索,Владикавказ,Vladicáucaso	way	35048116	place	city	44.67361997240575	43.02663903350543	16	0.5494434483222749		Vladikavkaz		North Ossetia–Alania	Russia	ru	Vladikavkaz, North Ossetia–Alania, North Caucasus federal district	44.604402051144206	42.97025296502883	44.74184212913707	43.08664197702046		ru:Владикавказ
Vladikavkaz	Wladikawkas,弗拉季高加索,Владикавказ	node	1168567868	place	city	44.682110340189716	43.02459519023564	16	0.5494434483222749		Vladikavkaz		North Ossetia–Alania	Russia	ru	Vladikavkaz, Vladikavkaz, North Ossetia–Alania, North Caucasus federal district	44.682110340189716	43.02459519023564	44.682110340189716	43.02459519023564		ru:Владикавказ
Novorossiysk	Noworossijsk,新罗西斯克,Новороссийск	relation	1477110	place	city	37.759530576912596	44.70787383788365	16	0.5484635006747559		Novorossiysk		Krasnodar Krai	Russia	ru	Novorossiysk, Krasnodar Krai, South federal district	37.721719690676395	44.65900939594834	37.855079961118605	44.75656728899423		ru:Новороссийск
Novorossiysk	Noworossijsk,新罗西斯克,Новороссийск	node	87705691	place	city	37.76907107336035	44.72395774615478	16	0.5484635006747559		Novorossiysk		Krasnodar Krai	Russia	ru	Novorossiysk, Novorossiysk, Krasnodar Krai, South federal district	37.76907107336035	44.72395774615478	37.76907107336035	44.72395774615478		ru:Новороссийск
Lipetsk	Lipezk,利佩茨克,Липецк	node	76611479	place	city	39.59368985663837	52.60418767002302	16	0.5480254568166918		Lipetsk		Lipetsk Oblast	Russia	ru	Lipetsk, Lipetsk, Lipetsk Oblast, Central Federal District	39.59368985663837	52.60418767002302	39.59368985663837	52.60418767002302		ru:Липецк
